model_type,hyper_id,train_time,best_nround,eval_mse,test_mse,eval_gini,test_gini
lightgbm,1,23.219336665,633,0.7259839584530868,0.727552933564223,0.5625048442621909,0.56185506259342
lightgbm,2,27.0100958,699,0.7245074570615396,0.7255375874990281,0.5629885943623649,0.563354575462288
lightgbm,3,38.949806121,415,0.7190606123317571,0.7185158580054839,0.5672630989135428,0.5687192979680655
lightgbm,4,39.304223199,1808,0.7294027652030922,0.7294343675511655,0.5602951427430282,0.5612043775229747
lightgbm,5,38.366439794,1096,0.7198348281822494,0.7203382494929984,0.566243968361667,0.5670746087152037
lightgbm,6,22.932666106,772,0.7332157836882055,0.7327035882876127,0.5554540239996849,0.5570876570937657
lightgbm,7,37.960150335,1994,0.7390986703980639,0.7394838538565884,0.5501460413283658,0.5512987000892091
lightgbm,8,25.338019263,232,0.7212154545570356,0.7210941706140995,0.5665700627224178,0.5686127970797225
lightgbm,9,37.093168017,1045,0.7197541486540415,0.72086374513781,0.5671976333643216,0.5666720833023298
lightgbm,10,26.352443411,784,0.7353831447020001,0.7348672226409112,0.5539101981132952,0.555311746820495
lightgbm,11,32.514113308,886,0.72187128718381,0.7214491534768234,0.5653767583669229,0.5664394533659434
lightgbm,12,46.931527747,470,0.7163019388506922,0.7166210069446394,0.5701774119066456,0.571090671987531
lightgbm,13,40.030539482,2152,0.7380123163203371,0.7382316448224118,0.5512094607871093,0.5522572297667985
lightgbm,14,26.691398784,699,0.7245074570615396,0.7255375874990281,0.5629885943623649,0.563354575462288
lightgbm,15,22.634768579,1027,0.7300173216839418,0.7297488799343758,0.558188997158481,0.5594713092015834
lightgbm,16,41.328123179,1909,0.7289963343393677,0.7287497803381281,0.5592946439702469,0.5607280325450217
