model_type,hyper_id,train_time,best_nround,eval_mse,test_mse,eval_gini,test_gini
evotrees,1,40.052531664,557,0.7541960636215825,0.7546952987208984,0.5352464392264249,0.5359462574212351
evotrees,2,65.054420676,1214,0.7279931718747759,0.7275493073185055,0.5614859122203796,0.5622598167002388
evotrees,3,67.20084295,489,0.7364542258392498,0.7366789248961446,0.551433236920516,0.5520022871986819
evotrees,4,56.55849333,1173,0.7570364101977334,0.7577529499808571,0.5336746389202252,0.5346129548944807
evotrees,5,52.226993943,610,0.7532992799753426,0.7529538022261829,0.536218778482174,0.5381207243183489
evotrees,6,73.719453593,1180,0.7403406620237792,0.7406320999377577,0.549292110643522,0.5505905400508395
evotrees,7,73.78134943,1949,0.7530027199292045,0.7525448205687955,0.5391560672268634,0.5411724300722267
evotrees,8,99.862335099,707,0.7221657725822271,0.7219180456836739,0.5657719480900565,0.5667273817034215
evotrees,9,67.45116854,1229,0.7276967307725495,0.7270673154039624,0.5611372359985078,0.5623893885138604
evotrees,10,40.687315553,946,0.7521625715812812,0.751910279351625,0.5369109110948297,0.539920819938126
evotrees,11,45.501037015,936,0.7377765388401065,0.7387821996243266,0.5508714199058777,0.5507465276870359
evotrees,12,42.540307207,484,0.746213778605002,0.7476870402182885,0.5404809579726579,0.5412050049136117
evotrees,13,98.776022843,2167,0.7501473709349806,0.7503982126504166,0.5418702974252038,0.5438436086486736
evotrees,14,107.734196962,1473,0.7271341606154471,0.7278024117342513,0.5632158712475849,0.5641536333037315
evotrees,15,82.220404944,1610,0.7342438250216542,0.7356480208233671,0.554798586091677,0.5552416082315016
evotrees,16,150.610035735,3111,0.7395677636630794,0.7391031642904228,0.5528787884024523,0.5551557266605449
