model_type,hyper_id,train_time,best_nround,eval_mse,test_mse,eval_gini,test_gini
evotrees,1,0.123407512,110,0.07299432544555126,0.25427631622634544,0.9483099189573364,0.9349038721906312
evotrees,2,0.184150415,201,0.077871017656312,0.25655087254521414,0.9557975964112311,0.937252910912537
evotrees,3,0.383257021,183,0.08154954252803717,0.24711657268633963,0.9445660802303899,0.9386812889249937
evotrees,4,0.123936375,149,0.07761172804167797,0.20485529579138811,0.9459469438239574,0.9364270240996486
evotrees,5,0.132503655,118,0.07896105389588738,0.2201306800377512,0.9413686795030362,0.9342675331708639
evotrees,6,0.112246716,139,0.07735197135924265,0.22848641973995218,0.9411840720707413,0.9327240725697268
evotrees,7,0.109818968,107,0.08887693732454459,0.23870600717539836,0.9353652458047954,0.935066341727593
evotrees,8,0.367863952,245,0.07639221713148192,0.26967211386199574,0.94656722479647,0.9325142160844843
evotrees,9,0.151155327,210,0.07798530077980292,0.24807973173077977,0.9476157950119068,0.9367655023016521
evotrees,10,0.113411995,86,0.07537480724869744,0.31442320949978714,0.9480366999575396,0.9283983211481185
evotrees,11,0.183739628,113,0.09360497730180986,0.2648357629794658,0.940969927449279,0.9344029244516655
evotrees,12,0.201465763,187,0.08251588885398924,0.2965469445288256,0.9429636877180672,0.9319388031410774
evotrees,13,0.157144601,192,0.07941190962300587,0.27166469636455226,0.9420849563403415,0.9346804765773086
evotrees,14,0.281236992,243,0.08221558603738947,0.3051710647796356,0.9393601506396646,0.9283983211481185
evotrees,15,0.118017473,183,0.07607257207270404,0.27210481534788467,0.9458214107699974,0.9340441375575417
evotrees,16,0.081195458,149,0.08329144120033986,0.27406028154380246,0.9445217744466385,0.9206607094503114
