model_type,hyper_id,train_time,best_nround,eval_logloss,test_logloss,eval_gini,test_gini
evotrees,1,14.174490526,564,0.50592935,0.5038832,0.655417455917949,0.6587113490543496
evotrees,2,23.624824743,1024,0.50224996,0.50044143,0.661259199402543,0.6640412829647487
evotrees,3,29.093509259,583,0.5024355,0.500373,0.660966957302822,0.664130574581891
evotrees,4,12.543625231,795,0.5076581,0.5058237,0.6529164304735242,0.6558930201364583
evotrees,5,14.057629564,485,0.5059398,0.5043315,0.6555323437390067,0.6579434781056143
evotrees,6,23.041593256,1086,0.50158226,0.49945682,0.6622135771764459,0.6656466934143003
evotrees,7,19.003003393,1378,0.50630665,0.5043302,0.6550724431811863,0.6582115049300202
evotrees,8,54.172588127,1040,0.4979122,0.4964052,0.6679795443466523,0.6704041030147356
evotrees,9,28.738457433,1276,0.5016585,0.49956042,0.6623930413672708,0.6656667420750533
evotrees,10,15.093034051,954,0.50595975,0.50390035,0.6553647616287605,0.658979612043339
evotrees,11,15.032267521,727,0.5058679,0.5044429,0.6557371236648792,0.6580036169529909
evotrees,12,34.749707294,975,0.5049561,0.502896,0.6572118966103602,0.6606705765022692
evotrees,13,27.805009269,1796,0.50428313,0.5026315,0.6583425458791237,0.6608932215550597
evotrees,14,39.059362195,1485,0.500434,0.4984902,0.663935532004227,0.6670621176616806
evotrees,15,25.249586435,1372,0.50257134,0.5004199,0.660958501242955,0.6642730438991068
evotrees,16,38.432242971,1766,0.5045814,0.50270116,0.6576820548946719,0.6606907172029955
