model_type,hyper_id,train_time,best_nround,eval_logloss,test_logloss,eval_gini,test_gini
xgboost,1,12.951322881,693,0.5055339,0.5037384,0.6560037571249391,0.6589934751184267
xgboost,2,21.624061176,1250,0.50232893,0.50095063,0.6610361027705011,0.6633003440538586
xgboost,3,20.231440986,742,0.5020604,0.5000596,0.661413074932584,0.6647177689220595
xgboost,4,14.989613291,1062,0.5067229,0.5046292,0.654347711900227,0.6575578348973184
xgboost,5,13.024342043,691,0.50556344,0.5034952,0.656031982997542,0.659407934686817
xgboost,6,14.468972717,883,0.5030706,0.5010772,0.6600107896355617,0.6632054162369402
xgboost,7,14.066472834,1105,0.50816363,0.50626945,0.6522608992453913,0.6553179133560735
xgboost,8,31.188188927,1181,0.49813083,0.49641636,0.6675924546669858,0.6703388438195275
xgboost,9,24.378111268,1377,0.50233144,0.50053114,0.6612671988023546,0.6642005631334149
xgboost,10,18.303217498,1163,0.5053099,0.50354046,0.6563462853455887,0.6592664396376933
xgboost,11,12.552779544,708,0.5077807,0.50557035,0.6527532990149881,0.6562842096450214
xgboost,12,27.601539819,1078,0.50550604,0.5036854,0.6563238954457857,0.6592925690013507
xgboost,13,29.482228606,2364,0.5026902,0.5009253,0.6607217012415987,0.6634580021071768
xgboost,14,21.154158871,1451,0.50067675,0.4990164,0.6637707975975438,0.6663393355976681
xgboost,15,25.809690391,1691,0.5016178,0.499518,0.6621596252882771,0.6655093722709545
xgboost,16,24.584535849,2090,0.50385773,0.5021035,0.6586149642944928,0.6614196356219895
