model_type,train_time,best_nround,mse,ndcg,feature_fraction,metric,max_depth,learning_rate,min_data_in_leaf,objective,num_iterations,early_stopping_round,lambda_l2,num_leaves,max_bin,bagging_fraction
lightgbm,13.20345448,203,0.5487890819639377,0.5137950735700274,0.4,"[""mse""]",-1,0.05,20,mse,5000,10,0,512,64,1.0
lightgbm,16.895442959,752,0.5538530874522781,0.5087500315271151,0.6,"[""mse""]",-1,0.05,20,mse,5000,10,1,32,64,1.0
lightgbm,34.626836269,153,0.5502606893594223,0.50891674912343,0.6,"[""mse""]",-1,0.05,20,mse,5000,10,0,2048,64,0.8
lightgbm,10.36396484,269,0.5520613877349382,0.5116065588232251,1.0,"[""mse""]",-1,0.05,20,mse,5000,10,1,128,64,0.4
lightgbm,12.478130355,673,0.5539934708233769,0.5062052212059333,1.0,"[""mse""]",-1,0.05,20,mse,5000,10,10,32,64,0.8
lightgbm,14.818933512,170,0.5495824875856404,0.512754250896419,0.8,"[""mse""]",-1,0.05,20,mse,5000,10,0,512,64,0.6
lightgbm,34.577017236,175,0.5493010051399815,0.5077675828616808,0.4,"[""mse""]",-1,0.05,20,mse,5000,10,10,2048,64,0.4
lightgbm,13.173272782,408,0.5509956436959448,0.5100133428186321,0.8,"[""mse""]",-1,0.05,20,mse,5000,10,0,128,64,0.8
lightgbm,30.867587216,125,0.5501240846591646,0.5064942918041607,0.8,"[""mse""]",-1,0.05,20,mse,5000,10,1,2048,64,0.4
lightgbm,15.414553278,458,0.5501502661832035,0.5133364780926863,0.4,"[""mse""]",-1,0.05,20,mse,5000,10,10,128,64,0.4
lightgbm,36.474820312,151,0.5485051627467524,0.5126437237938087,0.6,"[""mse""]",-1,0.05,20,mse,5000,10,10,2048,64,0.6
lightgbm,13.543888581,764,0.5534044118137424,0.5068354528456411,1.0,"[""mse""]",-1,0.05,20,mse,5000,10,0,32,64,0.4
lightgbm,10.686499302,291,0.5519553134922003,0.5106756780983825,1.0,"[""mse""]",-1,0.05,20,mse,5000,10,0,128,64,0.6
lightgbm,10.290914939,277,0.5518285328349751,0.5128226862889256,0.4,"[""mse""]",-1,0.05,20,mse,5000,10,1,128,64,0.6
lightgbm,17.112609431,1058,0.552145587040495,0.5100568476519632,0.8,"[""mse""]",-1,0.05,20,mse,5000,10,1,32,64,0.4
lightgbm,27.472066573,148,0.5499940593522362,0.5095254579622324,0.4,"[""mse""]",-1,0.05,20,mse,5000,10,0,2048,64,0.4
